stdr_ym,induty_nm,sexdstn_code,agrde_code,setle_cascnt,setle_amount
202103,패스트푸드점,1,03,120118,1050595854
202103,패스트푸드점,1,04,165931,1602066920
202103,패스트푸드점,1,05,82473,784575167
202103,패스트푸드점,1,06,21077,183870443
202103,패스트푸드점,1,07,6733,56780290
202103,패스트푸드점,2,01,104,930550
202103,패스트푸드점,2,02,34813,300854660
202103,패스트푸드점,2,03,122415,1083562510
202103,패스트푸드점,2,04,231217,2211931608
202103,패스트푸드점,2,05,127409,1163323858
202103,패스트푸드점,2,06,36498,315238282
202103,패스트푸드점,2,07,9485,81853715
202103,패밀리레스토랑,1,01,27,995545
202103,패밀리레스토랑,1,02,3326,105952343
202103,패밀리레스토랑,1,03,9774,307576490
202103,패밀리레스토랑,1,04,15467,464173390
202103,패밀리레스토랑,1,05,10814,307086819
202103,패밀리레스토랑,1,06,2854,82132311
202103,패밀리레스토랑,1,07,688,19242403
202103,패밀리레스토랑,2,01,12,427120
202103,패밀리레스토랑,2,02,3450,117115857
202103,패밀리레스토랑,2,03,10154,333244934
202103,패밀리레스토랑,2,04,21891,618826740
202103,패밀리레스토랑,2,05,16910,464789208
202103,패밀리레스토랑,2,06,4949,138482861
202103,패밀리레스토랑,2,07,1143,32600305
202104,한식,1,01,739,22072004
202104,한식,1,02,142287,4754968799
202104,한식,1,03,446605,15111608770
202104,한식,1,04,770976,25939249277
202104,한식,1,05,652516,21547254530
202104,한식,1,06,282802,9190451583
202104,한식,1,07,81471,2562073815
202104,한식,2,01,586,18266780
202104,한식,2,02,148596,4878659347
202104,한식,2,03,385815,12477034207
202104,한식,2,04,800537,24709216444
202104,한식,2,05,760587,24028606336
202104,한식,2,06,308985,10344401889
202104,한식,2,07,76409,2596565924
202104,일식,1,01,87,2991280
202104,일식,1,02,17350,712333614
202104,일식,1,03,42002,1987262370
202104,일식,1,04,57345,2767381341
202104,일식,1,05,45342,2158263294
202104,일식,1,06,16308,841828161
202104,일식,1,07,5067,229488636
202104,일식,2,01,73,2859090
202104,일식,2,02,21164,773936343
202104,일식,2,03,39556,1569225908
202104,일식,2,04,72112,2723260053
202104,일식,2,05,61058,2438595129
202104,일식,2,06,19737,906557046
202104,일식,2,07,5053,218961061
202104,중식,1,01,127,2862000
202104,중식,1,02,21155,505074969
202104,중식,1,03,71972,1811569311
202104,중식,1,04,127546,2979487539
202104,중식,1,05,88546,1977479179
202104,중식,1,06,30506,688796893
202104,중식,1,07,8423,193068781
202104,중식,2,01,92,1901784
202104,중식,2,02,20181,488586268
202104,중식,2,03,54991,1406968471
202104,중식,2,04,124639,2780219855
202104,중식,2,05,90933,2064238855
202104,중식,2,06,31568,763013045
202104,중식,2,07,8606,218871408
202104,양식,1,01,60,1503340
202104,양식,1,02,12979,435022235
202104,양식,1,03,33083,1174853768
202104,양식,1,04,37910,1287034503
202104,양식,1,05,26541,859504347
202104,양식,1,06,7970,257929343
202104,양식,1,07,1945,63109300
202104,양식,2,01,75,2017700
202104,양식,2,02,22665,744375094
202104,양식,2,03,44688,1461023112
202104,양식,2,04,61697,1795563195
202104,양식,2,05,48322,1438694150
202104,양식,2,06,13888,452408141
202104,양식,2,07,2655,92764818
202104,패스트푸드점,1,01,258,2711630
202104,패스트푸드점,1,02,40061,345521598
202104,패스트푸드점,1,03,121254,1045251953
202104,패스트푸드점,1,04,167977,1577753078
202104,패스트푸드점,1,05,85741,802611313
202104,패스트푸드점,1,06,21437,182947385
202104,패스트푸드점,1,07,6778,57121060
202104,패스트푸드점,2,01,118,1234150
202104,패스트푸드점,2,02,35019,301508408
202104,패스트푸드점,2,03,125912,1092197927
202104,패스트푸드점,2,04,240707,2251690324
202104,패스트푸드점,2,05,133588,1209975316
202104,패스트푸드점,2,06,38096,323093640
202104,패스트푸드점,2,07,9535,83874834
202104,패밀리레스토랑,1,01,17,560070
202104,패밀리레스토랑,1,02,3263,97943410
202104,패밀리레스토랑,1,03,9314,293809536
202104,패밀리레스토랑,1,04,14682,418722783
202104,패밀리레스토랑,1,05,10546,284727869
202104,패밀리레스토랑,1,06,2657,72294063
202104,패밀리레스토랑,1,07,640,18074693
202104,패밀리레스토랑,2,01,6,174700
202104,패밀리레스토랑,2,02,3411,115970387
202104,패밀리레스토랑,2,03,9746,306893350
202104,패밀리레스토랑,2,04,20853,560412263
202104,패밀리레스토랑,2,05,16096,428962940
202104,패밀리레스토랑,2,06,4619,122054622
202104,패밀리레스토랑,2,07,1144,32018132
202105,한식,1,01,683,23829530
202105,한식,1,02,150263,5294634067
202105,한식,1,03,473214,17115558890
202105,한식,1,04,831066,30047900854
202105,한식,1,05,703938,24463228326
202105,한식,1,06,300334,10178846026
202105,한식,1,07,86238,2798038578
202105,한식,2,01,688,25135610
202105,한식,2,02,159572,5549076779
202105,한식,2,03,415926,14541393813
202105,한식,2,04,859192,28739569759
202105,한식,2,05,804837,26641576662
202105,한식,2,06,329270,11492565692
202105,한식,2,07,81698,2887107010
202105,일식,1,01,85,3021820
202105,일식,1,02,18213,787642710
202105,일식,1,03,43420,2134666013
202105,일식,1,04,61549,3093667912
202105,일식,1,05,48873,2380845460
202105,일식,1,06,17227,910181493
202105,일식,1,07,4967,234129410
202105,일식,2,01,79,2206540
202105,일식,2,02,22128,891144689
202105,일식,2,03,40738,1751189388
202105,일식,2,04,75022,3007279777
202105,일식,2,05,62716,2569451322
202105,일식,2,06,20321,933536478
202105,일식,2,07,5048,226370378
202105,중식,1,01,125,2619110
202105,중식,1,02,22472,552531819
202105,중식,1,03,76043,2026965413
202105,중식,1,04,137723,3422620564
202105,중식,1,05,96581,2279912497
202105,중식,1,06,33206,793883628
202105,중식,1,07,9050,230117107
202105,중식,2,01,110,2151200
202105,중식,2,02,21265,531563007
202105,중식,2,03,59077,1623574793
202105,중식,2,04,135968,3225200820
202105,중식,2,05,98780,2352499416
202105,중식,2,06,34780,890370114
202105,중식,2,07,9362,253523146
202105,양식,1,01,75,2683305
202105,양식,1,02,13972,476753102
202105,양식,1,03,36691,1376536898
202105,양식,1,04,43177,1566671536
202105,양식,1,05,29665,1002348551
202105,양식,1,06,8516,307664775
202105,양식,1,07,1952,73327488
202105,양식,2,01,82,2720450
202105,양식,2,02,24529,819118907
202105,양식,2,03,47733,1581511716
202105,양식,2,04,68369,2062344876
202105,양식,2,05,50968,1527142494
202105,양식,2,06,14411,487537465
202105,양식,2,07,2803,101011690
202105,패스트푸드점,1,01,265,2471070
202105,패스트푸드점,1,02,40997,361242120
202105,패스트푸드점,1,03,127654,1129891501
202105,패스트푸드점,1,04,179189,1759257526
202105,패스트푸드점,1,05,90510,865689990
202105,패스트푸드점,1,06,22739,200838030
202105,패스트푸드점,1,07,7149,60782780
202105,패스트푸드점,2,01,131,1130060
202105,패스트푸드점,2,02,36776,320710495
202105,패스트푸드점,2,03,132098,1197784071
202105,패스트푸드점,2,04,247774,2406881156
202105,패스트푸드점,2,05,138140,1280957514
202105,패스트푸드점,2,06,39648,345889964
202105,패스트푸드점,2,07,9864,89864520
202105,패밀리레스토랑,1,01,18,516005
202105,패밀리레스토랑,1,02,3513,109037579
202105,패밀리레스토랑,1,03,10022,314742472
202105,패밀리레스토랑,1,04,16680,495220127
202105,패밀리레스토랑,1,05,11904,336883479
202105,패밀리레스토랑,1,06,2976,82590320
202105,패밀리레스토랑,1,07,775,21469595
202105,패밀리레스토랑,2,01,7,167100
202105,패밀리레스토랑,2,02,3685,119931076
202105,패밀리레스토랑,2,03,10641,340914068
202105,패밀리레스토랑,2,04,23350,653727799
202105,패밀리레스토랑,2,05,17991,477229092
202105,패밀리레스토랑,2,06,5246,141797915
202105,패밀리레스토랑,2,07,1247,37129414
202106,한식,1,01,628,20055610
202106,한식,1,02,142606,4841411490
202106,한식,1,03,454098,15570619788
202106,한식,1,04,798778,27535518329
202106,한식,1,05,684597,22991600057
202106,한식,1,06,299998,9879825549
202106,한식,1,07,90126,2852708653
202106,한식,2,01,691,21367505
202106,한식,2,02,151597,5036453785
202106,한식,2,03,404262,13453076698
202106,한식,2,04,833957,26576440246
202106,한식,2,05,797904,25830722700
202106,한식,2,06,333203,11397238293
202106,한식,2,07,84738,2900614537
202106,일식,1,01,86,3176640
202106,일식,1,02,17082,707902470
202106,일식,1,03,42276,1956494541
202106,일식,1,04,59744,2907245486
202106,일식,1,05,48303,2289212526
202106,일식,1,06,17175,854201410
202106,일식,1,07,5134,231782520
202106,일식,2,01,84,2825130
202106,일식,2,02,21956,810433797
202106,일식,2,03,40710,1621080327
202106,일식,2,04,75020,2872188198
202106,일식,2,05,64257,2539747223
202106,일식,2,06,20330,918998483
202106,일식,2,07,5346,233879910
202106,중식,1,01,113,2400740
202106,중식,1,02,20968,506063111
202106,중식,1,03,70548,1793219383
202106,중식,1,04,127310,3003963920
202106,중식,1,05,90681,2048610230
202106,중식,1,06,30671,695364321
202106,중식,1,07,8729,211916710
202106,중식,2,01,120,2226654
202106,중식,2,02,20212,475405145
202106,중식,2,03,54281,1415179454
202106,중식,2,04,126582,2841861831
202106,중식,2,05,92157,2116609605
202106,중식,2,06,32463,804492366
202106,중식,2,07,8828,227205355
202106,양식,1,01,51,1524200
202106,양식,1,02,13284,447876598
202106,양식,1,03,34483,1261292251
202106,양식,1,04,39628,1376878047
202106,양식,1,05,28005,917516025
202106,양식,1,06,8310,280562253
202106,양식,1,07,2049,88031871
202106,양식,2,01,63,1710940
202106,양식,2,02,23379,751768398
202106,양식,2,03,47153,1549174321
202106,양식,2,04,64345,1955748230
202106,양식,2,05,50564,1501347796
202106,양식,2,06,14553,481810206
202106,양식,2,07,2800,98311328
202106,패스트푸드점,1,01,242,2266100
202106,패스트푸드점,1,02,40777,353366797
202106,패스트푸드점,1,03,123991,1060788749
202106,패스트푸드점,1,04,171863,1606318834
202106,패스트푸드점,1,05,90174,832671145
202106,패스트푸드점,1,06,23036,194956991
202106,패스트푸드점,1,07,7464,61258930
202106,패스트푸드점,2,01,156,1309570
202106,패스트푸드점,2,02,36381,310585886
202106,패스트푸드점,2,03,126797,1098092017
202106,패스트푸드점,2,04,248048,2304845453
202106,패스트푸드점,2,05,139914,1255117172
202106,패스트푸드점,2,06,40717,343920840
202106,패스트푸드점,2,07,10496,88654920
202106,패밀리레스토랑,1,01,15,696700
202106,패밀리레스토랑,1,02,3171,97293757
202106,패밀리레스토랑,1,03,9280,296486775
202106,패밀리레스토랑,1,04,14883,441556848
202106,패밀리레스토랑,1,05,10577,298779676
202106,패밀리레스토랑,1,06,2706,77568061
202106,패밀리레스토랑,1,07,721,20282264
202106,패밀리레스토랑,2,01,10,317685
202106,패밀리레스토랑,2,02,3513,112928828
202106,패밀리레스토랑,2,03,9993,326052116
202106,패밀리레스토랑,2,04,21196,601067310
202106,패밀리레스토랑,2,05,16341,448095747
202106,패밀리레스토랑,2,06,4618,125842122
202106,패밀리레스토랑,2,07,1138,34690602
202107,한식,1,01,578,18031065
202107,한식,1,02,131243,4379380116
202107,한식,1,03,408252,13788606761
202107,한식,1,04,750012,25710094140
202107,한식,1,05,661358,21969143140
202107,한식,1,06,287990,9443336572
202107,한식,1,07,82578,2614651524
202107,한식,2,01,678,21315060
202107,한식,2,02,134406,4404656994
202107,한식,2,03,353604,11746848863
202107,한식,2,04,784282,25103339903
202107,한식,2,05,749936,23967784259
202107,한식,2,06,306389,10358885179
202107,한식,2,07,76764,2613677612
202107,일식,1,01,83,3408040
202107,일식,1,02,15862,641321681
202107,일식,1,03,38462,1764681704
202107,일식,1,04,56473,2659695715
202107,일식,1,05,46286,2121345963
202107,일식,1,06,16372,809386157
202107,일식,1,07,4705,199369690
202107,일식,2,01,71,2999350
202107,일식,2,02,19000,695243486
202107,일식,2,03,35350,1390310137
202107,일식,2,04,70886,2664409640
202107,일식,2,05,59380,2279037722
202107,일식,2,06,18403,797350501
202107,일식,2,07,4597,191560230
202107,중식,1,01,99,2061050
202107,중식,1,02,20160,471486219
202107,중식,1,03,65072,1617761094
202107,중식,1,04,124562,2921355468
202107,중식,1,05,89663,2016528291
202107,중식,1,06,30309,686986053
202107,중식,1,07,8483,202251390
202107,중식,2,01,128,2736710
202107,중식,2,02,18084,429849681
202107,중식,2,03,49987,1267305883
202107,중식,2,04,127261,2871035496
202107,중식,2,05,91479,2079005440
202107,중식,2,06,30959,766289025
202107,중식,2,07,8459,222743378
202107,양식,1,01,55,2139400
202107,양식,1,02,11474,377231187
202107,양식,1,03,29434,1019543751
202107,양식,1,04,36407,1247085011
202107,양식,1,05,26741,847704712
202107,양식,1,06,7745,253537690
202107,양식,1,07,1875,64211963
202107,양식,2,01,76,1874250
202107,양식,2,02,19496,620875688
202107,양식,2,03,38523,1215344978
202107,양식,2,04,60324,1793236445
202107,양식,2,05,46026,1339951051
202107,양식,2,06,12739,402699479
202107,양식,2,07,2710,88228148
202107,패스트푸드점,1,01,194,1806300
202107,패스트푸드점,1,02,40059,347544287
202107,패스트푸드점,1,03,121081,1051920328
202107,패스트푸드점,1,04,174690,1689982398
202107,패스트푸드점,1,05,92390,880234766
202107,패스트푸드점,1,06,23757,203954140
202107,패스트푸드점,1,07,7719,63431537
202107,패스트푸드점,2,01,166,1512510
202107,패스트푸드점,2,02,34541,295385456
202107,패스트푸드점,2,03,121141,1077413205
202107,패스트푸드점,2,04,244845,2370847145
202107,패스트푸드점,2,05,140037,1286255744
202107,패스트푸드점,2,06,40924,345057850
202107,패스트푸드점,2,07,10893,93478580
