,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
114,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2019.12),2.02012E+13,케이티앤지,20201230,연
115,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2018.12),2.02012E+13,케이티앤지,20201230,연
116,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2017.12),2.02011E+13,케이티앤지,20201119,연
117,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2016.12),2.02011E+13,케이티앤지,20201116,연
118,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2015.12),2.02011E+13,케이티앤지,20201116,연
119,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2014.12),2.02011E+13,케이티앤지,20201116,연
120,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2013.12),2.02011E+13,케이티앤지,20201116,연
121,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2012.12),2.02011E+13,케이티앤지,20201116,연
122,244455,케이티앤지,33780,Y,[기재정정]사업보고서 (2011.12),2.02011E+13,케이티앤지,20201116,연
123,244455,케이티앤지,33780,Y,사업보고서제출기한연장신고서 (2019.12),2.02003E+13,케이티앤지,20200320,
124,360595,현대글로비스,86280,Y,사업보고서 (2021.12),2.02203E+13,현대글로비스,20220315,연
125,360595,현대글로비스,86280,Y,사업보고서 (2020.12),2.02103E+13,현대글로비스,20210316,연
126,360595,현대글로비스,86280,Y,사업보고서 (2019.12),2.02003E+13,현대글로비스,20200330,연
"Showing 8 to 21 of 439 entries, 9 total columns",,,,,,,,,
